Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",-1,0.0011599063873291016,2,"[<Op (pick-up a)>, <Op (stack a p)>]"
Goal to Real Goal Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",2.5033950805664062e-05,0.025708913803100586,24,"[<Op (unstack p e)>, <Op (put-down p)>, <Op (unstack r t)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up p)>, <Op (stack p a)>, <Op (unstack p a)>, <Op (put-down p)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
Shared Landmark Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.004489898681640625,0.002485036849975586,2,"[<Op (pick-up a)>, <Op (stack a p)>]"
Combined Landmarks Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.006462812423706055,0.015045166015625,32,"[<Op (pick-up a)>, <Op (put-down a)>, <Op (unstack r t)>, <Op (put-down r)>, <Op (unstack p e)>, <Op (stack p a)>, <Op (pick-up t)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (put-down e)>, <Op (unstack p a)>, <Op (put-down p)>, <Op (pick-up a)>, <Op (stack a t)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (unstack a t)>, <Op (put-down a)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (unstack e r)>, <Op (put-down e)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
Most Common Landmarks,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00638270378112793,0.002730131149291992,2,"[<Op (pick-up a)>, <Op (stack a p)>]"
Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.0003199577331542969,0.003391265869140625,4,"[<Op (pick-up a)>, <Op (stack a p)>, <Op (unstack r t)>, <Op (put-down r)>]"
Closest Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.0002429485321044922,0.002421140670776367,2,"[<Op (pick-up a)>, <Op (stack a p)>]"
Farthest Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00032782554626464844,0.003245115280151367,4,"[<Op (pick-up a)>, <Op (stack a p)>, <Op (unstack r t)>, <Op (put-down r)>]"
All but Real Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00040793418884277344,0.017290115356445312,16,"[<Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up a)>, <Op (stack a p)>, <Op (unstack r t)>, <Op (put-down r)>, <Op (pick-up t)>, <Op (stack t e)>, <Op (unstack a p)>, <Op (put-down a)>, <Op (unstack t e)>, <Op (put-down t)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
R-Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00032806396484375,0.005243778228759766,10,"[<Op (unstack p e)>, <Op (stack p r)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (unstack p r)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
R-Closest Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00024437904357910156,0.008656740188598633,14,"[<Op (unstack p e)>, <Op (stack p a)>, <Op (pick-up e)>, <Op (stack e p)>, <Op (unstack r t)>, <Op (stack r e)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (unstack e p)>, <Op (put-down e)>, <Op (unstack p a)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
R-Farthest Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00020122528076171875,0.008624792098999023,14,"[<Op (unstack p e)>, <Op (stack p a)>, <Op (pick-up e)>, <Op (stack e p)>, <Op (unstack r t)>, <Op (stack r e)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (unstack e p)>, <Op (put-down e)>, <Op (unstack p a)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
R-All but Real Centroid Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00022172927856445312,0.0022552013397216797,2,"[<Op (pick-up a)>, <Op (stack a p)>]"
Minimum Covering State Approach,"['(handempty)', '(ontable a)', '(clear a)', '(ontable e)', '(clear p)', '(on p e)', '(ontable t)', '(clear r)', '(on r t)']","['(clear a)', '(on a p)', '(on p e)', '(ontable e)']",0.00016808509826660156,0.01661825180053711,18,"[<Op (unstack p e)>, <Op (put-down p)>, <Op (pick-up e)>, <Op (stack e a)>, <Op (unstack r t)>, <Op (stack r e)>, <Op (pick-up p)>, <Op (stack p r)>, <Op (unstack p r)>, <Op (put-down p)>, <Op (unstack r e)>, <Op (put-down r)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (pick-up p)>, <Op (stack p e)>, <Op (pick-up a)>, <Op (stack a p)>]"
