Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",-1,0.3171877861022949,8,"[<Op (sail l4 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Goal to Real Goal Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",2.2649765014648438e-05,0.8385903835296631,16,"[<Op (sail l4 l2)>, <Op (board c5 l2)>, <Op (sail l2 l0)>, <Op (debark c5 l0)>, <Op (sail l0 l5)>, <Op (board c4 l5)>, <Op (sail l5 l4)>, <Op (debark c4 l4)>, <Op (sail l4 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Shared Landmark Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.011747121810913086,0.32471609115600586,10,"[<Op (sail l4 l2)>, <Op (sail l2 l0)>, <Op (sail l0 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Combined Landmarks Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.02979898452758789,0.06944799423217773,30,"[<Op (sail l4 l2)>, <Op (sail l2 l0)>, <Op (sail l0 l5)>, <Op (board c4 l5)>, <Op (sail l5 l2)>, <Op (debark c4 l2)>, <Op (board c5 l2)>, <Op (debark c5 l2)>, <Op (board c4 l2)>, <Op (sail l2 l4)>, <Op (debark c4 l4)>, <Op (sail l4 l2)>, <Op (board c5 l2)>, <Op (sail l2 l0)>, <Op (debark c5 l0)>, <Op (sail l0 l8)>, <Op (sail l8 l3)>, <Op (sail l3 l2)>, <Op (board c0 l2)>, <Op (sail l2 l3)>, <Op (debark c0 l3)>, <Op (board c1 l3)>, <Op (debark c1 l3)>, <Op (board c0 l3)>, <Op (sail l3 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Most Common Landmarks,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.014085769653320312,0.03971600532531738,17,"[<Op (sail l4 l2)>, <Op (sail l2 l8)>, <Op (sail l8 l0)>, <Op (sail l0 l3)>, <Op (sail l3 l2)>, <Op (board c0 l2)>, <Op (sail l2 l3)>, <Op (debark c0 l3)>, <Op (board c1 l3)>, <Op (debark c1 l3)>, <Op (board c0 l3)>, <Op (sail l3 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Centroid Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.0006279945373535156,0.3207740783691406,8,"[<Op (sail l4 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Closest Centroid Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.0006237030029296875,0.3895223140716553,9,"[<Op (sail l4 l8)>, <Op (sail l8 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
Farthest Centroid Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.00045418739318847656,0.32549285888671875,8,"[<Op (sail l4 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
All but Real Centroid Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.0005357265472412109,0.31313514709472656,8,"[<Op (sail l4 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
R-Centroid Approach,"['(empty-ferry)', '(at c0 l2)', '(at c1 l3)', '(at c2 l8)', '(at c3 l7)', '(at c4 l5)', '(at c5 l2)', '(at c6 l3)', '(at-ferry l4)']","['(at c0 l0)', '(at c1 l8)']",0.0006799697875976562,1.3009488582611084,12,"[<Op (sail l4 l7)>, <Op (board c3 l7)>, <Op (sail l7 l1)>, <Op (sail l1 l2)>, <Op (debark c3 l2)>, <Op (board c0 l2)>, <Op (sail l2 l0)>, <Op (debark c0 l0)>, <Op (sail l0 l3)>, <Op (board c1 l3)>, <Op (sail l3 l8)>, <Op (debark c1 l8)>]"
