Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],-1,0.0059661865234375,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Goal to Real Goal Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00023984909057617188,0.011770009994506836,7,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c05)>, <Op (move p0 c05 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Shared Landmark Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],8.821487426757812e-06,0.010648012161254883,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Combined Landmarks Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0016367435455322266,0.011349201202392578,7,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c05)>, <Op (move p0 c05 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Most Common Landmarks,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0010638236999511719,0.010580301284790039,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0006079673767089844,0.011865854263305664,7,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c05)>, <Op (move p0 c05 c15)>, <Op (move p0 c15 c14)>, <Op (move p0 c14 c13)>, <Op (move p0 c13 c23)>]"
Closest Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.00045490264892578125,0.010752201080322266,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
Farthest Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0002219676971435547,0.010575056076049805,3,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
All but Real Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0001957416534423828,0.011294126510620117,7,"[<Op (move p0 c02 c03)>, <Op (move p0 c03 c04)>, <Op (move p0 c04 c05)>, <Op (move p0 c05 c04)>, <Op (move p0 c04 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
R-Centroid Approach,"['(free c00)', '(free c01)', '(free c03)', '(free c04)', '(free c05)', '(free c10)', '(free c11)', '(free c12)', '(free c13)', '(free c14)', '(free c15)', '(free c20)', '(free c21)', '(free c22)', '(free c23)', '(free c25)', '(free c30)', '(free c34)', '(free c35)', '(free c40)', '(free c42)', '(free c43)', '(free c44)', '(free c45)', '(free c50)', '(free c51)', '(free c52)', '(free c53)', '(free c54)', '(free c55)', '(at p0 c02)']",['(at p0 c23)'],0.0003139972686767578,0.011432886123657227,7,"[<Op (move p0 c02 c01)>, <Op (move p0 c01 c00)>, <Op (move p0 c00 c01)>, <Op (move p0 c01 c02)>, <Op (move p0 c02 c03)>, <Op (move p0 c03 c13)>, <Op (move p0 c13 c23)>]"
