Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",-1,0.03162527084350586,12,"[<Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>]"
Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",1.4066696166992188e-05,0.07137703895568848,22,"[<Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (unload-truck obj12 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (unload-truck obj21 tru1 pos13)>, <Op (load-truck obj21 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (load-truck obj12 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>, <Op (unload-truck obj12 tru1 pos12)>]"
Shared Landmark Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.07990908622741699,0.009970903396606445,15,"[<Op (drive-truck tru1 pos13 pos12 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>]"
Combined Landmarks Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.09635615348815918,0.015665769577026367,27,"[<Op (drive-truck tru1 pos13 pos12 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (unload-truck obj12 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (unload-truck obj21 tru1 pos13)>, <Op (load-truck obj21 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj12 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj12 tru1 pos12)>]"
Most Common Landmarks,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.06469607353210449,0.007426023483276367,14,"[<Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>]"
Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.0003628730773925781,0.4373619556427002,20,"[<Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj11 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>, <Op (unload-truck obj12 tru1 pos12)>]"
Closest Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.0004470348358154297,0.4597749710083008,20,"[<Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj11 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>, <Op (unload-truck obj12 tru1 pos12)>]"
Farthest Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.0004291534423828125,0.4442176818847656,20,"[<Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj11 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>, <Op (unload-truck obj12 tru1 pos12)>]"
All but Real Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.00040793418884277344,0.4475061893463135,20,"[<Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (load-truck obj12 tru1 pos12)>, <Op (drive-truck tru1 pos12 pos13 cit1)>, <Op (unload-truck obj11 tru1 pos13)>, <Op (drive-truck tru1 pos13 pos11 cit1)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>, <Op (unload-truck obj12 tru1 pos12)>]"
R-Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos13)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj21 pos21)', '(at obj22 pos22)']","['(at obj12 pos12)', '(at obj21 pos12)']",0.0004620552062988281,0.13790607452392578,13,"[<Op (drive-truck tru1 pos13 pos12 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj21 tru1 pos12)>]"
